S.No,Product_Code,Cust_ID,IPC_Code,gram/product,Product_Type,Spring_Type,Material_Code,Material_Type,Material_Name,Grade,Finishing,Thickness,Process 1,Process 2,Process 3,Process 4,Process 5,Process 6,Process 7,Length (L),Breadth (B),Length (L),Breadth (B),Strip Count,Pcs per Strip,Pcs per Sheet
1,ROTORK-TORQUE/LIMIT ACTUATER LH-B1851-1.50mm,C_003,TORQUE/LIMIT ACTUATER LH-B1851-1.50mm,21.000,Press Component,,Sheet-SS Stainless Steel-304-1.50mm,Sheet,SS Stainless Steel,304,,1.50mm,Piercing & Parting,Deburring,Ironing,1.6mm Pirecing,Champering,Bending,,2500,1250,560,50,110,13,1430
2,ROTORK-TORQUE/LIMIT ACTUATER RH-B1852-1.50mm,C_003,TORQUE/LIMIT ACTUATER RH-B1852-1.50mm,23.000,Press Component,,Sheet-SS Stainless Steel-304-1.50mm,Sheet,SS Stainless Steel,304,,1.50mm,Piercing & Parting,,,,,,,2500,1250,560,50,110,13,1430
3,ROTORK-LATCH SWPRING SPACER-20482-0.50mm,C_003,LATCH SWPRING SPACER-20482-0.50mm,32.000,Press Component,,Sheet-SS Stainless Steel-304-0.50mm,Sheet,SS Stainless Steel,304,,0.50mm,Blanking,Piercing,Deburring,Bending,,,,2500,1250,500,20,310,75,23250
4,ROTORK-TORQUE CAM SPACER-20486-1.60mm,C_003,TORQUE CAM SPACER-20486-1.60mm,18.000,Press Component,,Sheet-MS Mild Steel-CR2-1.60mm,Sheet,MS Mild Steel,CR2,,1.60mm,Blanking,Piercing,Deburring,Plating-Zinc Blue,,,,2500,1250,500,21,295,80,23600
5,ROTORK-FINGER K150 YOKE ASSEMBLY-24946-3.00mm,C_003,FINGER K150 YOKE ASSEMBLY-24946-3.00mm,42.000,Press Component,,Sheet-MS Mild Steel-CR2-3.00mm,Sheet,MS Mild Steel,CR2,,3.00mm,Piercing & Parting & bending,Deburring,Phosphating,Bush Assembly,Riveting,Remar,,2500,1250,500,45,135,20,2700
6,ROTORK-INDICATER DRIVE MOUNTING PLATE APD-26285-3.00mm,C_003,INDICATER DRIVE MOUNTING PLATE APD-26285-3.00mm,32.000,Press Component,,Sheet-MS Mild Steel-CR2-3.00mm,Sheet,MS Mild Steel,CR2,,3.00mm,Blanking,Deburring,Piercing,Plating-Zinc Blue,Remar,,,2500,1250,500,99,60,7,420
7,ROTORK-GEAR FRONT PLATE-B2510-2.00mm,C_003,GEAR FRONT PLATE-B2510-2.00mm,29.000,Press Component,,Sheet-MS Mild Steel-CR2-2.00mm,Sheet,MS Mild Steel,CR2,,2.00mm,Blanking,Deburring,Piercing,Brass Welding,Grinding & Buffing,Plating-Zinc Blue,Remar,2500,1250,500,75,80,7,560
8,ROTORK-LOCAL/REMOTE SWICH PLATE-31389-1.60mm,C_003,LOCAL/REMOTE SWICH PLATE-31389-1.60mm,2.000,Press Component,,Sheet-MS Mild Steel-CR2-1.60mm,Sheet,MS Mild Steel,CR2,,1.60mm,Blanking,Deburring,Piercing,Bending,Plating-Zinc Blue,,,2500,1250,500,45,135,30,4050
9,ROTORK-OPEN/CLOSE SWITCH PLATE-31390-1.60mm,C_003,OPEN/CLOSE SWITCH PLATE-31390-1.60mm,20.000,Press Component,,Sheet-MS Mild Steel-CR2-1.60mm,Sheet,MS Mild Steel,CR2,,1.60mm,Blanking,Deburring,Piercing,Bending,Plating-Zinc Blue,,,2500,1250,500,45,135,12,1620
10,ROTORK-CLAMP RING-31364-3.00mm,C_003,CLAMP RING-31364-3.00mm,20.000,Press Component,,Sheet-Aluminium-3.00mm,Sheet,Aluminium,,,3.00mm,Blanking & Piercing,Deburring,,,,,,2500,1250,1250,80,30,15,450
11,ROTORK-DRIVE SLEEVE RETAINING PLATE-B2639-1.00mm,C_003,DRIVE SLEEVE RETAINING PLATE-B2639-1.00mm,22.000,Press Component,,Sheet-MS Mild Steel-CR2-1.00mm,Sheet,MS Mild Steel,CR2,,1.00mm,Blanking & Piercing,Deburring,Blacking,,,,,2500,1250,1250,500,30,16,480
12,ROTORK-PAWL RH-20412-1.00mm,C_003,PAWL RH-20412-1.00mm,37.000,Press Component,,Sheet-SS Stainless Steel-304-1.00mm,Sheet,SS Stainless Steel,304,,1.00mm,Blanking,Deburring,,,,,,2500,1250,500,24,260,80,20800
13,ROTORK-PAWL LH-20412-1.00mm,C_003,PAWL LH-20412-1.00mm,26.000,Press Component,,Sheet-SS Stainless Steel-304-1.00mm,Sheet,SS Stainless Steel,304,,1.00mm,Blanking,Deburring,,,,,,2500,1250,500,24,260,80,20800
14,ROTORK-HEATER MOUNTING BRACKET-19537-0.90mm,C_003,HEATER MOUNTING BRACKET-19537-0.90mm,7.000,Press Component,,Sheet-Aluminium-0.90mm,Sheet,Aluminium,,,0.90mm,Blanking,Piercing 1,Slot Piercing,Piercing 2,Bending 1,Bending 2,Closing,2500,1250,500,120,50,12,600
15,ROTORK-CAMSPACER APD-B0428-0.50mm,C_003,CAMSPACER APD-B0428-0.50mm,33.000,Press Component,,Sheet-MS Mild Steel-CR2-0.50mm,Sheet,MS Mild Steel,CR2,,0.50mm,Blanking & Piercing,Plating-Zinc Blue,,,,,,2500,1250,500,22,280,12,3360
